# Glossary in tab-separated format -*- coding: utf-8 -*-
Power Relay	силовое реле
Compound	Соединение
Precursor	Предтечи
Cruiser	Крейсер
Destroyer	Разрушитель
Battlecruiser	Боевой крейсер
Shrouded World	Окутанный мир
Escort	эскорт	тип корабля
Wormhole	червоточина
Titanic Beast	Титанический зверь
pre-sapient	предразумный
Archivist	Архивариус
Grand Archive	Великий архив
Offspring	Отпрыски
Broodmother	матка
Hull Points	корпус	очки прочности корпуса
Enigmalith	Энигмалит
H.O.D.O.R.	H.O.D.O.R.
Warbarge	Варбаржа
galnet	галанет
shroud	Покров
Kool Aid	Хладо-ген
Cyber-Dim	нейрооборащения
system's primary	звезда системы
Phanon Vault	Хранилище Фанона
has depowered	отключилось
Juggernaut	Джагернаут
Mega-Alloy Foundries	мегалитейные заводы
Private Mega-Alloy Foundries	Частные мегалитейные заводы
Enigmatic Research Complex	загадочный исследовательский комплекс
Amusement	Развлекательный
Sky-Dome	Небесный купол
Star-Dome	Звездный купол
Hard-Light	жесткого света
mega-mall	торговый центр
Delphic-AI-Core	ядро Дельфийского ИИ
Stellarite	стелларита
Wrecking Yard	Авторазборка
DAI	Дельфийский ИИ
DAI's	Дельфийские ИИ
Giga Fortress.	гага-крепость
Runic Power	руническая сила
