30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/replace/aot_00_overrides_l_russian.yml                     	              6	                 0	                  6	                            0	        63	            0	              63	                       0	                          497	                               0	                              497	                                          0	                         558	                              0	                             558	                                         0	
localisation/replace/russian/from_modifiers_l_russian.yml               	             73	                 0	                 37	                            0	       221	            0	             111	                       0	                         1813	                               0	                              911	                                          0	                        2033	                              0	                            1021	                                         0	
localisation/replace/russian/giga_modifiers_replace_l_russian.yml       	              6	                 0	                  5	                            0	        13	            0	              13	                       0	                          137	                               0	                              132	                                          0	                         146	                              0	                             141	                                         0	
localisation/replace/russian/giga_replace_l_russian.yml                 	             71	                 0	                 65	                            0	      1051	            0	             959	                       0	                        10330	                               0	                             9481	                                          0	                       11220	                              0	                           10294	                                         0	
localisation/russian/acot_ph_00_l_russian.yml                           	              7	                 0	                  7	                            0	        22	            0	              22	                       0	                          214	                               0	                              214	                                          0	                         229	                              0	                             229	                                         0	
localisation/russian/acotextra_00_l_russian.yml                         	              6	                 0	                  3	                            0	        22	            0	              11	                       0	                          130	                               0	                               65	                                          0	                         146	                              0	                              73	                                         0	
localisation/russian/anomalies_respawn_l_russian.yml                    	            261	                 0	                240	                            0	      4180	            0	            3961	                       0	                        21504	                               0	                            20205	                                          0	                       25434	                              0	                           23936	                                         0	
localisation/russian/aot_00_building_l_russian.yml                      	            240	                 0	                219	                            0	      1072	            0	             917	                       0	                        10208	                               0	                             8670	                                          0	                       11047	                              0	                            9375	                                         0	
localisation/russian/aot_00_colony_designations_l_russian.yml           	             10	                 0	                 10	                            0	       103	            0	             103	                       0	                          598	                               0	                              598	                                          0	                         691	                              0	                             691	                                         0	
localisation/russian/aot_00_databank_l_russian.yml                      	             47	                 0	                 45	                            0	       673	            0	             647	                       0	                         3714	                               0	                             3558	                                          0	                        4324	                              0	                            4144	                                         0	
localisation/russian/aot_00_districts_l_russian.yml                     	            121	                 0	                 95	                            0	      1129	            0	             873	                       0	                         6866	                               0	                             5422	                                          0	                        7889	                              0	                            6213	                                         0	
localisation/russian/aot_00_edicts_l_russian.yml                        	              8	                 0	                  8	                            0	       130	            0	             130	                       0	                          634	                               0	                              634	                                          0	                         756	                              0	                             756	                                         0	
localisation/russian/aot_00_event_chains_l_russian.yml                  	             63	                 0	                 53	                            0	       466	            0	             456	                       0	                         2793	                               0	                             2433	                                          0	                        3195	                              0	                            2835	                                         0	
localisation/russian/aot_00_events_l_russian.yml                        	            515	                 0	                459	                            0	      6343	            0	            5759	                       0	                        35801	                               0	                            32643	                                          0	                       41662	                              0	                           37967	                                         0	
localisation/russian/aot_00_holding_l_russian.yml                       	            239	                 0	                213	                            0	      2695	            0	            2401	                       0	                        15673	                               0	                            14129	                                          0	                       18129	                              0	                           16317	                                         0	
localisation/russian/aot_00_initializer_names_l_russian.yml             	             15	                 0	                 15	                            0	        33	            0	              33	                       0	                          197	                               0	                              197	                                          0	                         215	                              0	                             215	                                         0	
localisation/russian/aot_00_jobs_l_russian.yml                          	            510	                 0	                452	                            0	      3557	            0	            2882	                       0	                        25280	                               0	                            21441	                                          0	                       28441	                              0	                           23974	                                         0	
